"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5, ,Venezuela
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic
Pralus,Dominican Republic-Organic,280,2008,75%,France,2.0, ,Dominican Republic
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5,Forastero (Arriba),Ecuador
Na�ve,Chuao,1399,2014,75%,Lithuania,2.75,Trinitario,Venezuela
Q Chocolate,Brazil,935,2012,60%,Brazil,3.0, ,Brazil
Ranger,"San Martin, Batch 2",1558,2015,70%,U.S.A.,2.5, ,Peru
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Videri,Trinidad,1211,2014,75%,U.S.A.,3.5,Trinitario,Trinidad
Letterpress,Liberia,1728,2016,70%,U.S.A.,3.25, ,Liberia
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75%,France,3.75,Criollo,Madagascar
Pierre Marcolini,Chuao,478,2010,75%,Belgium,3.0,Criollo,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4.0,Criollo,Mexico
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend, 
Dark Forest,Ocumare,1550,2015,70%,U.S.A.,3.25, ,Venezuela
Zart Pralinen,UNOCACE,1824,2016,70%,Austria,2.75,Nacional (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3.0,Trinitario,Madagascar
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25, ,Dominican Republic
Madre,Dominican,672,2011,70%,U.S.A.,2.5, ,Dominican Republic
Vivra,Peru,1720,2016,70%,U.S.A.,2.5, ,Peru
Habitual,Campesino w/ nibs,1197,2014,74%,Canada,2.75, , 
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.0,Forastero,Ghana
Sibu Sura,Peru,911,2012,70%,U.S.A.,2.5, ,Peru
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56%,France,3.25, ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,75%,U.S.A.,3.0,Forastero (Arriba),Ecuador
Tabal,Dominican Republic,1101,2013,70%,U.S.A.,2.75, ,Dominican Republic
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada
Starchild,Sambirano Valley,1696,2015,70%,U.S.A.,3.0,Trinitario,Madagascar
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela
Felchlin,Elvesia P.,105,2006,74%,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic
Chocovic,Tarakan,439,2009,75%,Spain,3.25, , 
Soma,Patanemo,1077,2013,70%,Canada,3.75,Criollo,Venezuela
Pitch Dark,Tenor,1506,2015,62%,U.S.A.,2.5, ,Nicaragua
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero (Parazinho),Brazil
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75, ,Bolivia
Taza,Belize,1271,2014,68%,U.S.A.,3.0,Trinitario,Belize
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5, ,Venezuela
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75, ,Dominican Republic
La Oroquidea,Peruvian Amazon,721,2011,72%,Peru,2.5, ,Peru
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75, ,Uganda
Xocolla,"Sambirano, batch 170102",1948,2017,70%,U.S.A.,2.75, ,Madagascar
Callebaut,Baking,141,2007,70%,Belgium,1.0, ,Ecuador
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5, ,Nicaragua
Fruition,La Red,1046,2013,70%,U.S.A.,3.75, ,Dominican Republic
Neuhaus (Callebaut),Papua New Guinea,531,2010,70%,Belgium,2.5,Criollo,Papua New Guinea
Pralus,"Caracas, Venezuela and Ghana",99,2006,75%,France,3.0,"Trinitario, Forastero","Venezuela, Ghana"
Marsatta,Dominican Republic,1189,2013,89%,U.S.A.,2.5, ,Dominican Republic
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar
L.A. Burdick (Felchlin),Quito,682,2011,74%,U.S.A.,3.75, ,Ecuador
Dandelion,Dominican Republic,654,2011,70%,U.S.A.,3.25, ,Dominican Republic
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25, ,Dominican Republic
Indaphoria,La Red,821,2012,70%,U.S.A.,3.25, ,Dominican Republic
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral""",1319,2014,73%,U.S.A.,3.5, ,Ecuador
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25, ,Dominican Republic
Sirene,"Lachua w/ maple sugar, batch 5",1614,2015,73%,Canada,3.25, ,Guatemala
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3.0, ,Dominican Republic
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75%,France,3.0, ,Ivory Coast
Pralus,Papouasie,199,2008,75%,France,3.0,Trinitario,Papua New Guinea
Woodblock,Ecuador,825,2012,70%,U.S.A.,2.5, ,Ecuador
Fruition,Peru,863,2012,70%,U.S.A.,2.5, ,Peru
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75, ,Bolivia
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3.0, , 
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia
"Smooth Chocolator, The",Tien Giang,1864,2016,70%,Australia,3.0,Trinitario,Vietnam
Mesocacao,El Salvador,1494,2015,70%,Honduras,3.0, ,El Salvador
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,69%,France,3.5,Criollo (Porcelana),Venezuela
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Mast Brothers,Chuao,999,2012,73%,U.S.A.,2.75,Trinitario,Venezuela
Patric,Madagascar,439,2009,67%,U.S.A.,3.5,Trinitario,Madagascar
Soma,"Abstract S. w/ Jamaica nibs,batch abs60323.0",1828,2016,75%,Canada,3.75, ,"Ven.,Ecu.,Peru,Nic."
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0, ,Peru
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Mutari,"Tien Giang, batch 1 SRB",1900,2016,80%,U.S.A.,3.0,Trinitario,Vietnam
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5, ,Dominican Republic
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Damson,O'Payo,1666,2015,70%,U.K.,2.75, ,Nicaragua
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Mindo,Ecuador,607,2010,67%,U.S.A.,2.75, ,Ecuador
Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,85%,Vietnam,3.25,Trinitario,Vietnam
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5, ,Peru
Nugali,Fazenda Leolinda,1876,2016,70%,Brazil,3.5,Trinitario (Scavina),Brazil
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Maglio,Africa,300,2008,75%,Italy,2.0, ,Tanzania
Neuhaus (Callebaut),Sao Tome,15,2006,75%,Belgium,2.75,Forastero,Sao Tome
Potomac,"Cuyagua, 2013",1387,2014,70%,U.S.A.,3.75, ,Venezuela
Pump Street Bakery,Guantupi River,1223,2014,75%,U.K.,3.0,Forastero (Nacional),Ecuador
Soma,Maranon Canyon,1259,2014,70%,Canada,3.75,Forastero (Nacional),Peru
Noble Bean aka Jerjobo,Ghana,1295,2014,75%,U.S.A.,3.0,Forastero,Ghana
Parliament,Alto Beni,1251,2014,70%,U.S.A.,3.0, ,Bolivia
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3.25, ,Bolivia
Nibble,Tumbes,1526,2015,72%,U.S.A.,3.0,Criollo,Peru
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66%,France,3.75, ,Venezuela
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75, ,Dominican Republic
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3.0,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua
Violet Sky,Sambirano Valley,1458,2015,77%,U.S.A.,2.75,Trinitario,Madagascar
TCHO,West Africa,1716,2016,62%,U.S.A.,2.0,Forastero,West Africa
Scharffen Berger,Semisweet,56,2006,62%,U.S.A.,3.0,Blend, 
Habitual,one hundred,1205,2014,100%,Canada,2.0, , 
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru
Mast Brothers,"Chuao, Dark Roast",709,2011,70%,U.S.A.,3.0,Trinitario,Venezuela
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Scharffen Berger,Tome Acu,336,2009,68%,U.S.A.,3.75, ,Brazil
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75, ,Mexico
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25, , 
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75, ,Colombia
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru
Domori,Ecuador,192,2007,70%,Italy,4.0,Forastero (Arriba),Ecuador
Paul Young,"Madagascar, w/ shell",1271,2014,73%,U.K.,2.25,Trinitario,Madagascar
Bonnat,Maragnam,1038,2013,75%,France,3.5, ,Brazil
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2.5,Forastero (Arriba),Ecuador
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,75%,U.S.A.,3.75, ,Honduras
Pitch Dark,Namau Village,1315,2014,73%,U.S.A.,2.5,Trinitario,Fiji
Pacari,Piura,863,2012,70%,Ecuador,4.0, ,Peru
Silvio Bessone,"Bahia, Scavina",729,2011,60%,Italy,3.25,Trinitario,Brazil
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.0, ,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25, ,Dominican Republic
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia
Salgado,Carenero Superior,288,2008,70%,Argentina,3.5,Trinitario,Venezuela
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5, ,Nicaragua
Cacao Barry,Tanzania,300,2008,75%,France,2.0, ,Tanzania
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize
Coppeneur,Chuao,478,2010,70%,Germany,3.0,Trinitario,Venezuela
Violet Sky,Cahabon,1502,2015,77%,U.S.A.,2.75,Trinitario,Guatemala
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64%,France,3.5,Trinitario,Madagascar
Roasting Masters,"La Dorado, light roast",1844,2016,70%,South Korea,3.25, ,Costa Rica
Vicuna,Palos Blancos + nibs,1470,2015,70%,U.S.A.,3.25, ,Bolivia
A. Morin,Birmanie,1015,2013,70%,France,3.0, ,Burma
Soma,Noula Coop,817,2012,70%,Canada,3.25, ,Haiti
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75, ,Guatemala
Republica del Cacao (aka Confecta),"Los Rios, Vinces",439,2009,75%,Ecuador,2.5,Forastero (Arriba),Ecuador
L.A. Burdick (Felchlin),Brazil,891,2012,70%,U.S.A.,4.0, ,Brazil
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar
Raoul Boulanger,Piura,1872,2016,75%,France,3.25,Criollo,Peru
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
Terroir,Uganda,1323,2014,73%,U.S.A.,3.75,Forastero,Uganda
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5, , 
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3.0,Trinitario,Bolivia
Arete,Lachua,1904,2016,70%,U.S.A.,3.5, ,Guatemala
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72%,Belgium,4.0,Criollo,Mexico
Theo,"Venezuela; Barinos, Merida, Tachron",188,2007,91%,U.S.A.,2.0,Blend,Venezuela
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,70%,Australia,3.75,Criollo,Venezuela
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75, ,Venezuela
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25, ,Mexico
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
Videri,Dominican Republic,1211,2014,90%,U.S.A.,3.25, ,Dominican Republic
organicfair,Nicaraqua,1165,2013,72%,Canada,2.75,Trinitario,Nicaragua
Escazu,Ocumare,252,2008,72%,U.S.A.,3.0,Criollo,Venezuela
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,2.75,Trinitario,Vanuatu
Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,70%,Nicaragua,3.0, ,Nicaragua
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
A. Morin,Pablino,1319,2014,70%,France,4.0, ,Peru
Eau de Rose,Tumaco,1812,2016,70%,Canada,3.25, ,Colombia
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2.0,Trinitario,Ghana
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",1872,2016,77%,U.K.,3.5, ,Ecuador
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25, ,Dominican Republic
Naive,Trinidad & Tobago,1046,2013,70%,Lithuania,3.75, ,"Trinidad, Tobago"
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",1860,2016,75%,U.S.A.,3.75, ,Ecuador
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
Guittard,Chucuri,15,2006,65%,U.S.A.,3.0,Trinitario,Colombia
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3.0, ,Dominican Republic
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar
twenty-four blackbirds,Dominican Republic,1022,2013,68%,U.S.A.,3.25, ,Dominican Republic
Rogue,"Sambirano, 2008",213,2008,70%,U.S.A.,2.75,Trinitario,Madagascar
organicfair,La Red,1165,2013,72%,Canada,2.75, ,Dominican Republic
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4.0,Trinitario,Madagascar
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru
Republica del Cacao (aka Confecta),Manabi,147,2007,75%,Ecuador,3.0,Forastero (Arriba),Ecuador
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2.0, ,Peru
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70%,U.S.A.,2.75, ,Mexico
Noir d' Ebine,Ecuador,841,2012,70%,U.S.A.,3.0, ,Ecuador
Raaka,Madagascar,959,2012,75%,U.S.A.,3.25,Trinitario,Madagascar
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75, ,Ecuador
Mars,Ivory Coast,544,2010,65%,U.S.A.,3.0, ,Ivory Coast
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3.0, ,Jamaica
Ritual,Sambirano,891,2012,75%,U.S.A.,4.0,Trinitario,Madagascar
Rozsavolgyi,Sur del Lago,809,2012,84%,Hungary,2.5, ,Venezuela
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3.0,Trinitario,Vietnam
Pump Street Bakery,Honduras,1688,2015,80%,U.K.,2.75, ,Honduras
Soma,"Grenada, Black Science",676,2011,70%,Canada,2.75,Trinitario,Grenada
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",414,2009,72%,Belgium,3.0,Forastero,Brazil
Ara,Trincheras,1379,2014,75%,France,3.0, ,Venezuela
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea
Dandelion,Madagascar,654,2011,70%,U.S.A.,3.25,Trinitario,Madagascar
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5, ,Ecuador
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75, ,Nicaragua
Solstice,Wasatch,1161,2013,70%,U.S.A.,3.5,Blend, 
C-Amaro,Venezuela,809,2012,80%,Italy,3.0, ,Venezuela
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5, ,Guatemala
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,2.75,Trinitario,Venezuela
Videri,Mindo,1227,2014,75%,U.S.A.,3.5, ,Ecuador
Soma,Orinoco,1173,2013,70%,Canada,3.25,Forastero,Venezuela
Dandelion,Buto,1303,2014,70%,U.S.A.,2.75, ,Liberia
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2.5, ,Tanzania
Soma,Madagascar,387,2009,70%,Canada,3.75,Criollo,Madagascar
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3.0, ,Dominican Republic
Szanto Tibor,Ambolikapiky,1704,2015,70%,Hungary,3.25,Trinitario,Madagascar
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25, ,Indonesia
Naive,Grenada,867,2012,71%,Lithuania,2.5,Trinitario,Grenada
Momotombo,Matagalpa,661,2011,70%,Nicaragua,2.75, ,Nicaragua
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75, ,Dominican Republic
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70%,Sweden,3.0, ,Brazil
Sirene,Pisa,1650,2015,73%,Canada,3.25, ,Haiti
Dark Forest,Tanzania,1554,2015,70%,U.S.A.,3.0, ,Tanzania
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3.0,Trinitario,Papua New Guinea
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70%,U.S.A.,3.0, ,Nicaragua
Taza,Alto Beni,785,2011,87%,U.S.A.,3.25, ,Bolivia
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,70%,Japan,2.25,"Trinitario, Criollo",Peru
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75, ,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3.0, ,Dominican Republic
Neuhaus (Callebaut),Ocumare,24,2006,71%,Belgium,3.0,Criollo,Venezuela
Zotter,"Kongo, Highlands",883,2012,68%,Austria,3.25,Forastero,Congo
Olive and Sinclair,Dark 67,457,2009,67%,U.S.A.,2.75, ,"Ghana, Domin. Rep"
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador
Pitch Dark,Chuno,1510,2015,80%,U.S.A.,2.75,"Criollo, Trinitario",Nicaragua
Ohiyo,Tanzania,1598,2015,70%,U.S.A.,3.0, ,Tanzania
Mast Brothers,Brooklyn Blend,672,2011,72%,U.S.A.,3.5, , 
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana
Letterpress,Beniamo,1562,2015,70%,U.S.A.,3.25, ,Bolivia
Chocovic,Ocumare,209,2008,71%,Spain,3.5,Criollo,Venezuela
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66%,Switzerland,3.75, ,Bolivia
Cemoi,Equateur,404,2009,72%,France,2.75, ,Ecuador
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3.0,Criollo (Porcelana),Venezuela
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3.25,Trinitario,Fiji
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5, ,Dominican Republic
Patric,Signature Blend,636,2011,70%,U.S.A.,3.75,Blend, 
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25, ,Colombia
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
Parliament,Oko Caribe,1255,2014,70%,U.S.A.,3.5, ,Dominican Republic
Wm,"Wild Beniano, 2016, batch 128, Heirloom",1912,2016,76%,U.S.A.,3.5, ,Bolivia
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68%,U.S.A.,3.75,"Amazon, ICS",Bolivia
A. Morin,Madagascar,1011,2013,70%,France,3.0,Criollo,Madagascar
Soma,CSB Chama,1594,2015,70%,Canada,3.5,Criollo,Venezuela
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5, ,Dominican Republic
Escazu,Guapiles,414,2009,65%,U.S.A.,2.0, ,Costa Rica
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5, ,Dominican Republic
Patric,"Piura, Choc. Garage Exclusive",1034,2013,67%,U.S.A.,4.0, ,Peru
Love Bar,Nicaragua,1502,2015,75%,U.S.A.,2.0, ,Nicaragua
Zokoko,"Tranquilidad, Baures",701,2011,72%,Australia,3.75, ,Bolivia
"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,70%,Australia,3.75, ,Belize
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25, ,Nicaragua
Pacari,Montubia,1415,2014,70%,Ecuador,3.75, ,Ecuador
Letterpress,Maranura,1371,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Shark Mountain,ROIG,1466,2015,74%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Rogue,"Silvestre, Batch 7, 2013",1081,2013,75%,U.S.A.,4.0, ,Bolivia
Monarque,Oko Caribe,1812,2016,72%,Canada,3.5, ,Dominican Republic
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru
Zokoko,Alto Beni,697,2011,68%,Australia,3.5, ,Bolivia
Madre,Guadalcanal,1940,2017,73%,U.S.A.,3.5, ,Solomon Islands
Dormouse,"Madagascar, Batch 8",1676,2015,77%,U.K.,2.75,"Criollo, Trinitario",Madagascar
Marana,Piura,1872,2016,70%,Peru,3.0, ,Peru
Amedei,Nine,111,2007,75%,Italy,4.0,Blend, 
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25, ,Ecuador
Zotter,"Indianer, Raw",883,2012,58%,Austria,3.5, , 
Guido Castagna,Blend,355,2009,64%,Italy,3.25, ,"Ven, Trinidad, Ecuador"
Willie's Cacao,Hacienda Las Trincheras,593,2010,72%,U.K.,3.5, ,Venezuela
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70%,U.K.,2.75, ,St. Lucia
